order,section,label,url,type,status
R30,10,Rasuwa Flood map + source archive,https://rasuwaflood.org/,Map / archive,Verified / live
R31,11,Seed video — Nepal Catastrophe,https://www.youtube.com/watch?v=5uuDFLtVlds&t=0s,Video @ 0:00,Verified / live
R32,11,IFC — “significant blasting” disclosure,https://disclosures.ifc.org/project-detail/ESRS/35701/upper-trishuli-1,Primary disclosure,Verified / live
R33,11,Nepal SEIA — explosive bunkers / tunnel blasting,https://giwmscdntwo.gov.np/media/pdf_upload/UT1_216_SEIA_7days_xk5ax9h.pdf,Primary PDF,Verified / live
R34,12,Rasuwa source coordinate / corridor,https://rasuwaflood.org/,Technical map,Verified / live
R35,12,IFC UT-1 project description,https://disclosures.ifc.org/project-detail/ESRS/35701/upper-trishuli-1,Project geography,Verified / live
R36,12,Reuters hydro project corridor list,https://www.reuters.com/world/asia-pacific/nepal-hydropower-sites-centre-flood-rescue-efforts-2026-08-31/,Project locations,Verified / live
R37,13,IFC blasting management record,https://disclosures.ifc.org/project-detail/ESRS/35701/upper-trishuli-1,Primary disclosure,Verified / live
R38,13,Nepal SEIA controlled-blasting controls,https://giwmscdntwo.gov.np/media/pdf_upload/UT1_216_SEIA_7days_xk5ax9h.pdf,Primary PDF,Verified / live
R39,13,Ray — “what this means / doesn’t”,https://www.youtube.com/watch?v=XwiVhF8GE9E&t=900s,Video @ 15:00,Verified / live
R40,14,Ray — standing at / locating source area,https://www.youtube.com/watch?v=XwiVhF8GE9E&t=60s,Video @ 1:00,Verified / live
R41,14,AP satellite: bedrock + glacier collapse,https://apnews.com/article/b3eda9410f9941f69add384944047bc3,Satellite analysis,Verified / live
R42,14,Rasuwa source & corridor mapping,https://rasuwaflood.org/,Technical map,Verified / live
R43,15,Ray — 20 months of radar data,https://www.youtube.com/watch?v=XwiVhF8GE9E&t=660s,Video @ 11:00,Verified / live
R44,15,Rasuwa technical assessment index,https://rasuwaflood.org/,Technical archive,Verified / live
R45,15,Reuters glacier / warming analysis,https://www.reuters.com/business/environment/glacier-collapse-may-have-triggered-deadly-nepal-flash-flood-experts-say-2026-08-26/,Science reporting,Verified / live
R46,16,Reuters Aug. 31 — rescue blasting at 3A,https://www.reuters.com/world/asia-pacific/nepal-hydropower-sites-centre-flood-rescue-efforts-2026-08-31/,Rescue report,Verified / live
R47,16,Reuters Sep. 3 — controlled blasts in valley,https://www.reuters.com/business/environment/flood-ravaged-nepal-valley-nothing-is-left-standing-2026-09-03/,Field report,Verified / live
R48,16,Guardian Sep. 5 — explosives used in rescue,https://www.theguardian.com/world/2026/sep/05/rescue-of-nepal-hydropower-workers-triumph-for-humans-and-humanity-tunnelling-expert-says,Rescue analysis,Verified / live
R49,17,Reuters Sep. 5 live rescue update,https://www.reuters.com/world/china/chinese-national-rescued-nepal-tunnel-day-after-2-nepalis-pulled-out-alive-2026-09-05/,Current update,Verified / live
R50,17,AP Sep. 5 rescue update,https://apnews.com/article/f9a6d181a30af8366700e47e498ec3b1,Current update,Verified / live
R51,17,Reuters Sep. 4 two-worker rescue,https://www.reuters.com/world/china/two-people-pulled-alive-nepal-hydropower-tunnel-2026-09-04/,Rescue update,Verified / live
R52,17,Reuters search-operations explainer,https://www.reuters.com/business/environment/how-are-search-operations-progressing-nepal-week-after-deadly-flash-flood-2026-09-02/,Search status,Verified / live
R53,18,Reuters — Nepal sought China warning/data access,https://www.reuters.com/business/environment/before-flood-catastrophe-nepal-asked-china-early-warnings-risks-mounted-2026-08-30/,Investigative report,Verified / live
R54,18,Chinese Foreign Ministry response,https://us.china-embassy.gov.cn/eng/fyrth/202608/t20260831_12013253.htm,Primary government statement,Verified / live
R55,18,Rasuwa Flood evidence archive,https://rasuwaflood.org/,Source archive,Verified / live
R56,18,Viral-video fact-check reminder,https://www.thejournal.ie/nepal-flood-fake-videos-ai-debunked-7148762-Sep2026/,Fact check,Verified / live
